"1","1","0","2020-02-20","jkreciwałek@zse.local","jkreciwałek","Jolanta","Kręciwałek","12345Ty#","spc. ds. Zamówień publicznych "
"2","1","0","2020-02-20","fbrajanusz@zse.local","fbrajanusz","Fachmann","Brajanusz","12345Ty#","spc. ds. Projektów Unijnych "
"3","1","0","2020-02-20","mnieda@zse.local","mnieda","Miranda","Nieda","12345Ty#","kier. gospodarczy   "
"4","1","0","2020-02-20","mwcisnechlam@zse.local","mwcisnechlam","Marta","Wcisnechłam","12345Ty#","spc. ds. sprzedaży  "
"5","1","0","2020-02-20","jdonos@zse.local","jdonos","Jacek","Donos","12345Ty#","spc. ds. kontroli i bezpieczeństwa"
"6","1","0","2020-02-20","kstaraszkola@zse.local","kstaraszkola","Kazimierz","Staraszkoła","12345Ty#","spc. ds. rozwoju  "
"7","1","0","2020-02-20","mkreda@zse.local","mkreda","Mariusz","Kreda","12345Ty#","spc. ds. szkoleń  "
"8","1","0","2020-02-20","fnierusz@zse.local","fnierusz","Franciszek","Nierusz","12345Ty#","spc. ds. technicznych  "
"9","1","0","2020-02-20","akasybrak@zse.local","akasybrak","Aldona","Kasybrak","12345Ty#","spc. ds. finansowo-księgowych  "
"10","1","0","2020-02-20","bbezpamieci@zse.local","bbezpamieci","Barbara","Bezpamięci","12345Ty#","spc. ds. planowania"
"11","1","0","2020-02-20","mwielepiej@zse.local","mwielepiej","Mirosław","Wielepiej","12345Ty#","spc. ds. doradztwa biznesowego "
